age_months,age_years,lx
963,80.25,45593
964,80.3333,45282
965,80.4167,44971
966,80.5,44660
967,80.5833,44348
968,80.6667,44037
969,80.75,43726
970,80.8333,43415
971,80.9167,43104
972,81.0,42793
973,81.0833,42476
974,81.1667,42160
975,81.25,41843
976,81.3333,41526
977,81.4167,41209
978,81.5,40892
979,81.5833,40576
980,81.6667,40259
981,81.75,39942
982,81.8333,39626
983,81.9167,39309
984,82.0,38992
985,82.0833,38669
986,82.1667,38346
987,82.25,38023
988,82.3333,37700
989,82.4167,37377
990,82.5,37054
991,82.5833,36732
992,82.6667,36409
993,82.75,36086
994,82.8333,35763
995,82.9167,35440
996,83.0,35117
997,83.0833,34795
998,83.1667,34474
999,83.25,34152
1000,83.3333,33830
1001,83.4167,33509
1002,83.5,33187
1003,83.5833,32865
1004,83.6667,32544
1005,83.75,32222
1006,83.8333,31900
1007,83.9167,31579
1008,84.0,31257
1009,84.0833,30941
1010,84.1667,30626
1011,84.25,30310
1012,84.3333,29995
1013,84.4167,29679
1014,84.5,29364
1015,84.5833,29048
1016,84.6667,28732
1017,84.75,28417
1018,84.8333,28101
1019,84.9167,27786
1020,85.0,27470
1021,85.0833,27165
1022,85.1667,26859
1023,85.25,26554
1024,85.3333,26248
1025,85.4167,25943
1026,85.5,25638
1027,85.5833,25332
1028,85.6667,25027
1029,85.75,24721
1030,85.8333,24416
1031,85.9167,24110
1032,86.0,23805
1033,86.0833,23512
1034,86.1667,23220
1035,86.25,22927
1036,86.3333,22634
1037,86.4167,22342
1038,86.5,22049
1039,86.5833,21756
1040,86.6667,21464
1041,86.75,21171
1042,86.8333,20878
1043,86.9167,20586
1044,87.0,20293
1045,87.0833,20019
1046,87.1667,19745
1047,87.25,19472
1048,87.3333,19198
1049,87.4167,18924
1050,87.5,18650
1051,87.5833,18376
1052,87.6667,18102
1053,87.75,17828
1054,87.8333,17555
1055,87.9167,17281
1056,88.0,17007
1057,88.0833,16756
1058,88.1667,16506
1059,88.25,16256
1060,88.3333,16005
1061,88.4167,15754
1062,88.5,15504
1063,88.5833,15254
1064,88.6667,15003
1065,88.75,14752
1066,88.8333,14502
1067,88.9167,14252
1068,89.0,14001
1069,89.0833,13777
1070,89.1667,13552
1071,89.25,13328
1072,89.3333,13104
1073,89.4167,12880
1074,89.5,12656
1075,89.5833,12431
1076,89.6667,12207
1077,89.75,11983
1078,89.8333,11758
1079,89.9167,11534
1080,90.0,11310
1081,90.0833,11115
1082,90.1667,10921
1083,90.25,10726
1084,90.3333,10532
1085,90.4167,10337
1086,90.5,10142
1087,90.5833,9948
1088,90.6667,9753
1089,90.75,9559
1090,90.8333,9364
1091,90.9167,9170
1092,91.0,8975
1093,91.0833,8809
1094,91.1667,8644
1095,91.25,8478
1096,91.3333,8313
1097,91.4167,8147
1098,91.5,7982
1099,91.5833,7816
1100,91.6667,7650
1101,91.75,7485
1102,91.8333,7319
1103,91.9167,7154
1104,92.0,6988
1105,92.0833,6850
1106,92.1667,6712
1107,92.25,6573
1108,92.3333,6435
1109,92.4167,6297
1110,92.5,6158
1111,92.5833,6020
1112,92.6667,5882
1113,92.75,5744
1114,92.8333,5606
1115,92.9167,5467
1116,93.0,5329
1117,93.0833,5216
1118,93.1667,5103
1119,93.25,4990
1120,93.3333,4877
1121,93.4167,4764
1122,93.5,4651
1123,93.5833,4538
1124,93.6667,4425
1125,93.75,4312
1126,93.8333,4199
1127,93.9167,4086
1128,94.0,3973
1129,94.0833,3883
1130,94.1667,3792
1131,94.25,3702
1132,94.3333,3611
1133,94.4167,3521
1134,94.5,3430
1135,94.5833,3340
1136,94.6667,3250
1137,94.75,3159
1138,94.8333,3069
1139,94.9167,2978
1140,95.0,2888
1141,95.0833,2817
1142,95.1667,2747
1143,95.25,2676
1144,95.3333,2606
1145,95.4167,2536
1146,95.5,2465
1147,95.5833,2394
1148,95.6667,2324
1149,95.75,2254
1150,95.8333,2183
1151,95.9167,2112
1152,96.0,2042
1153,96.0833,1989
1154,96.1667,1935
1155,96.25,1882
1156,96.3333,1828
1157,96.4167,1775
1158,96.5,1722
1159,96.5833,1668
1160,96.6667,1615
1161,96.75,1561
1162,96.8333,1508
1163,96.9167,1454
1164,97.0,1401
